Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.URBANISATION,Units,Value
2004,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,55.635299
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,53.173236
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,61.102156
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,57.709264
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,50.124177
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,46.700596
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,46.190482
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,47.071675
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,54.141276
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,47.140618
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,33.115
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,37.884188
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,39.4276
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,42.7541
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,41.5
2000,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,63.975403
2001,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SN_ITK_DEFC,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,77.544184
